Taxon	Gene	T3s	C3s	A3s	G3s	CAI	CBI	Fop	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo
Dsuz	DS10_00007488	0.0890	0.6027	0.0714	0.5414	0.331	0.585	0.738	31.70	0.874	0.630	183	192	-0.816146	0.088542
Dtak	DT10_00011747	0.1098	0.6179	0.0639	0.4434	0.281	0.515	0.683	35.99	0.857	0.644	287	295	-0.662712	0.084746
Dmel	FBpp0078591	0.1093	0.5870	0.1227	0.4178	0.328	0.461	0.646	37.17	0.812	0.629	288	297	-0.606397	0.084175
Dbia	DB10_00011164	0.2838	0.3719	0.2278	0.3826	0.255	0.147	0.450	56.92	0.588	0.544	753	769	-0.642393	0.049415
Dsuz	DS10_00011312	0.2361	0.4410	0.1808	0.4073	0.256	0.244	0.513	52.90	0.666	0.576	548	562	-0.743594	0.053381
Dtak	DT10_00010455	0.2026	0.4482	0.1527	0.4541	0.276	0.289	0.539	47.82	0.714	0.602	775	791	-0.668015	0.049305
Dmel	FBpp0078825	0.1504	0.5184	0.1688	0.4160	0.295	0.361	0.586	44.11	0.743	0.617	773	791	-0.647282	0.049305
Dbia	DB10_00002320	0.1667	0.3937	0.1866	0.5160	0.203	0.259	0.516	50.02	0.717	0.591	519	527	-0.793738	0.049336
Dsuz	DS10_00003025	0.2333	0.3283	0.2229	0.4681	0.189	0.176	0.460	52.14	0.631	0.562	578	588	-0.791156	0.047619
Dtak	DT10_00009681	0.1772	0.3859	0.1831	0.5124	0.198	0.234	0.498	48.49	0.710	0.584	514	522	-0.801341	0.047893
Dmel	FBpp0290861	0.1647	0.3718	0.2476	0.4733	0.198	0.170	0.458	50.87	0.669	0.573	528	540	-0.876296	0.046296
Dbia	DB10_00002759	0.1570	0.5112	0.1026	0.4881	0.285	0.413	0.620	38.77	0.791	0.628	820	863	-1.001391	0.034762
Dsuz	DS10_00009257	0.1840	0.4913	0.1009	0.4821	0.275	0.410	0.617	38.47	0.770	0.615	700	737	-0.917775	0.036635
Dtak	DT10_00008438	0.1532	0.5140	0.0868	0.5056	0.270	0.400	0.612	38.71	0.807	0.635	822	864	-1.024074	0.034722
Dmel	FBpp0075976	0.2429	0.4353	0.1468	0.4397	0.260	0.284	0.537	44.53	0.687	0.587	763	803	-0.939851	0.036115
Dbia	DB10_00003990	0.2759	0.4236	0.2033	0.3315	0.244	0.181	0.462	54.52	0.609	0.571	478	503	-0.628032	0.047714
Dsuz	DS10_00008854	0.3022	0.4029	0.2276	0.2972	0.251	0.149	0.441	53.58	0.567	0.558	478	501	-0.637525	0.047904
Dtak	DT10_00003854	0.3022	0.3931	0.2493	0.2913	0.231	0.128	0.428	53.65	0.551	0.550	479	501	-0.651497	0.047904
Dmel	FBpp0072351	0.3350	0.3519	0.2630	0.2923	0.242	0.066	0.389	60.40	0.514	0.533	481	502	-0.638645	0.049801
Dbia	DB10_00005374	0.3124	0.3109	0.3076	0.3519	0.235	0.030	0.384	57.58	0.508	0.486	821	839	-0.467104	0.058403
Dsuz	DS10_00000948	0.2991	0.3278	0.3136	0.3547	0.239	0.050	0.398	56.05	0.517	0.481	816	838	-0.508950	0.054893
Dtak	DT10_00002060	0.3304	0.3173	0.2948	0.3434	0.233	0.022	0.378	58.88	0.503	0.479	839	864	-0.451389	0.061343
Dmel	FBpp0080857	0.3313	0.2848	0.3295	0.3405	0.209	0.010	0.369	59.95	0.475	0.466	789	812	-0.533251	0.054187
Dbia	DB10_00001399	0.1690	0.5177	0.1332	0.5018	0.281	0.325	0.573	42.28	0.767	0.593	801	818	-0.783374	0.083130
Dtak	DT10_00004206	0.2260	0.4716	0.1692	0.4580	0.262	0.255	0.531	46.50	0.696	0.564	829	846	-0.796336	0.082742
Dmel	FBpp0083757	0.2408	0.4387	0.2016	0.4482	0.282	0.226	0.513	46.26	0.662	0.552	848	866	-0.840300	0.078522
Dsuz	DS10_00008318	0.2036	0.4691	0.1777	0.4558	0.236	0.234	0.513	47.88	0.703	0.572	606	618	-0.710680	0.090615
Dbia	DB10_00002060	0.1710	0.5242	0.1340	0.4837	0.313	0.384	0.608	44.75	0.764	0.592	681	707	-0.619943	0.057992
Dsuz	DS10_00007166	0.1370	0.5389	0.1262	0.5122	0.318	0.416	0.628	40.89	0.796	0.605	681	708	-0.598305	0.057910
Dtak	DT10_00008104	0.0905	0.6173	0.0397	0.5556	0.350	0.545	0.708	33.58	0.897	0.641	602	620	-0.508387	0.062903
Dmel	FBpp0079702	0.1204	0.5219	0.1376	0.5500	0.342	0.374	0.604	38.19	0.802	0.610	713	736	-0.693750	0.051630
Dbia	DB10_00002964	0.1523	0.4958	0.1080	0.5171	0.273	0.397	0.610	38.67	0.792	0.623	1168	1201	-0.884430	0.052456
Dsuz	DS10_00009150	0.2172	0.4323	0.1336	0.4909	0.241	0.292	0.543	42.77	0.720	0.597	1174	1208	-0.894785	0.052152
Dtak	DT10_00002372	0.1923	0.4462	0.1231	0.5098	0.251	0.293	0.544	43.46	0.747	0.607	1166	1202	-0.873128	0.052413
Dmel	FBpp0076797	0.2285	0.4193	0.1770	0.4433	0.254	0.249	0.515	46.66	0.676	0.581	1165	1203	-0.871654	0.052369
Dbia	DB10_00001197	0.2511	0.4765	0.2011	0.4099	0.287	0.283	0.556	49.87	0.656	0.525	926	940	-0.786489	0.048936
Dsuz	DS10_00009986	0.2629	0.4684	0.2412	0.3660	0.307	0.243	0.532	50.02	0.616	0.515	923	937	-0.810886	0.049093
Dtak	DT10_00000701	0.1988	0.5263	0.1541	0.4677	0.316	0.376	0.613	42.34	0.732	0.552	917	931	-0.782599	0.049409
Dmel	FBpp0082405	0.2825	0.4194	0.2366	0.4009	0.295	0.208	0.510	52.79	0.605	0.508	927	941	-0.808395	0.049947
Dbia	DB10_00002086	0.1064	0.5473	0.1060	0.4665	0.276	0.426	0.618	39.96	0.826	0.648	705	728	-0.588736	0.050824
Dsuz	DS10_00004539	0.1241	0.5328	0.1385	0.4408	0.258	0.400	0.603	42.66	0.786	0.628	660	681	-0.665198	0.052863
Dtak	DT10_00010237	0.1258	0.5216	0.1497	0.4368	0.271	0.374	0.588	42.60	0.776	0.628	580	598	-0.584950	0.053512
Dmel	FBpp0078969	0.1268	0.5122	0.1522	0.4319	0.277	0.366	0.579	41.91	0.771	0.639	725	746	-0.593432	0.049598
Dbia	DB10_00009066	0.2165	0.3917	0.2184	0.4293	0.257	0.226	0.497	50.32	0.648	0.566	917	934	-0.630728	0.032120
Dsuz	DS10_00009638	0.2222	0.4051	0.1977	0.4332	0.255	0.235	0.503	51.17	0.661	0.567	926	945	-0.591958	0.037037
Dtak	DT10_00004869	0.2011	0.4065	0.1617	0.4851	0.269	0.287	0.536	45.78	0.706	0.592	913	927	-0.599461	0.032362
Dmel	FBpp0290729	0.2596	0.3324	0.2653	0.3953	0.246	0.116	0.424	54.95	0.574	0.533	906	924	-0.637771	0.031385
Dbia	DB10_00007153	0.1136	0.5345	0.0876	0.5654	0.296	0.419	0.628	35.46	0.841	0.637	675	688	-0.917587	0.045058
Dsuz	DS10_00011633	0.0982	0.5340	0.0685	0.5982	0.279	0.422	0.627	34.88	0.867	0.624	480	487	-0.747023	0.053388
Dtak	DT10_00004650	0.1543	0.5056	0.0981	0.5427	0.284	0.375	0.600	38.51	0.801	0.621	673	686	-0.928426	0.045190
Dmel	FBpp0288912	0.1394	0.5167	0.1179	0.5301	0.293	0.389	0.610	39.40	0.798	0.621	679	692	-0.944942	0.044798
Dbia	DB10_00008931	0.2973	0.3973	0.3002	0.3675	0.249	0.107	0.450	55.24	0.556	0.492	936	952	-0.819118	0.089286
Dsuz	DS10_00003289	0.2844	0.4065	0.2454	0.3894	0.252	0.151	0.471	55.35	0.593	0.505	2173	2231	-0.666383	0.086060
Dtak	DT10_00002894	0.2032	0.5022	0.1048	0.4619	0.267	0.377	0.601	41.79	0.750	0.571	825	858	-0.458625	0.097902
Dmel	FBpp0077133	0.2659	0.4321	0.1603	0.4109	0.259	0.245	0.517	49.69	0.655	0.539	826	858	-0.462238	0.099068
Dbia	DB10_00008544	0.1098	0.5675	0.0539	0.5777	0.272	0.512	0.693	36.16	0.873	0.643	557	571	-0.803678	0.057793
Dsuz	DS10_00007219	0.1318	0.5455	0.0776	0.5539	0.274	0.495	0.682	36.85	0.837	0.624	557	572	-0.786713	0.061189
Dtak	DT10_00005842	0.1341	0.5503	0.0800	0.5868	0.291	0.489	0.684	40.11	0.840	0.614	488	501	-0.912176	0.065868
Dmel	FBpp0073882	0.2300	0.4742	0.1340	0.4776	0.336	0.374	0.608	45.33	0.719	0.577	548	560	-0.802143	0.057143
Dbia	DB10_00010938	0.4299	0.2133	0.4114	0.1946	0.185	-0.175	0.233	52.71	0.319	0.420	1368	1407	-0.593106	0.055437
Dsuz	DS10_00008608	0.4201	0.2253	0.4110	0.1887	0.188	-0.158	0.243	52.53	0.327	0.428	1365	1407	-0.582019	0.054016
Dtak	DT10_00010715	0.4438	0.2143	0.4317	0.1698	0.183	-0.190	0.228	51.18	0.300	0.413	1325	1363	-0.629420	0.055026
Dmel	FBpp0088245	0.4287	0.2101	0.4420	0.1792	0.191	-0.209	0.219	51.84	0.303	0.411	1361	1397	-0.614746	0.059413
Dbia	DB10_00000716	0.1966	0.4956	0.1411	0.4222	0.285	0.345	0.575	44.46	0.727	0.603	1533	1571	-0.459262	0.040102
Dsuz	DS10_00001613	0.2101	0.4873	0.1699	0.4127	0.281	0.313	0.557	46.31	0.699	0.581	987	1007	-0.608540	0.044687
Dtak	DT10_00007045	0.2089	0.4877	0.1460	0.4255	0.277	0.300	0.548	46.72	0.715	0.594	1500	1537	-0.475276	0.040989
Dmel	FBpp0076187	0.2456	0.4530	0.2130	0.3633	0.283	0.229	0.503	50.33	0.637	0.553	776	791	-0.663590	0.040455
Dbia	DB10_00005978	0.1063	0.5888	0.0644	0.5433	0.330	0.489	0.677	34.41	0.867	0.650	877	897	-0.845039	0.054627
Dsuz	DS10_00004783	0.1875	0.4917	0.1392	0.4785	0.285	0.347	0.588	45.18	0.744	0.595	1172	1199	-0.714429	0.060050
Dtak	DT10_00000871	0.1523	0.5445	0.0898	0.5217	0.303	0.417	0.633	39.00	0.812	0.631	867	887	-0.881736	0.054115
Dmel	FBpp0073236	0.1938	0.4823	0.1417	0.4951	0.291	0.314	0.568	44.16	0.741	0.598	871	889	-0.865242	0.056243
Dbia	DB10_00010554	0.1099	0.5815	0.0787	0.5006	0.310	0.487	0.667	34.57	0.850	0.657	1013	1036	-0.797201	0.037645
Dsuz	DS10_00004418	0.1933	0.4902	0.1135	0.4816	0.286	0.386	0.604	40.57	0.758	0.622	1113	1140	-0.813860	0.040351
Dtak	DT10_00002782	0.1649	0.5233	0.1158	0.4540	0.276	0.392	0.604	40.51	0.775	0.633	1198	1227	-0.758191	0.038305
Dmel	FBpp0301059	0.2075	0.4652	0.1604	0.4240	0.271	0.301	0.545	46.28	0.705	0.611	1179	1207	-0.710688	0.036454
Dbia	DB10_00010111	0.0803	0.5997	0.0761	0.4962	0.280	0.518	0.686	34.49	0.873	0.646	2321	2396	-0.503673	0.068865
Dtak	DT10_00005149	0.1491	0.5415	0.1124	0.5034	0.276	0.441	0.646	38.21	0.794	0.569	854	901	-0.494229	0.097669
Dsuz	DS10_00007075	0.1812	0.4984	0.1362	0.5112	0.278	0.370	0.605	42.11	0.751	0.545	744	782	-0.458440	0.102302
Dmel	FBpp0073664	0.2086	0.4938	0.1423	0.4762	0.277	0.364	0.601	42.86	0.725	0.532	672	707	-0.440594	0.113154
Dbia	DB10_00006903	0.1773	0.4169	0.2072	0.4128	0.213	0.257	0.508	46.67	0.680	0.625	725	742	-0.704582	0.047170
Dsuz	DS10_00001228	0.2203	0.3666	0.2397	0.3914	0.200	0.187	0.463	48.76	0.618	0.600	722	739	-0.697158	0.047361
Dtak	DT10_00004682	0.2794	0.3127	0.2615	0.3646	0.188	0.096	0.402	52.88	0.550	0.572	733	753	-0.689376	0.049137
Dmel	FBpp0077179	0.2464	0.3264	0.2825	0.3630	0.183	0.099	0.404	53.73	0.561	0.580	727	744	-0.738979	0.047043
Dbia	DB10_00007683	0.2354	0.3857	0.2740	0.3148	0.217	0.134	0.425	51.75	0.576	0.559	1723	1749	-0.519554	0.062893
Dtak	DT10_00001595	0.2270	0.4292	0.2277	0.3683	0.249	0.202	0.481	49.75	0.632	0.562	2341	2399	-0.630971	0.065861
Dmel	FBpp0081894	0.2831	0.3033	0.3134	0.2727	0.211	0.016	0.333	59.18	0.488	0.533	1248	1266	-0.411137	0.059242
Dsuz	DS10_00009735	0.2472	0.3491	0.3128	0.2567	0.203	0.080	0.374	54.21	0.517	0.557	1226	1246	-0.388202	0.061798
Dbia	DB10_00005483	0.1735	0.4737	0.1936	0.3414	0.284	0.269	0.503	47.70	0.689	0.611	579	587	-0.124532	0.037479
Dsuz	DS10_00001054	0.2381	0.4524	0.1778	0.3873	0.265	0.296	0.545	50.02	0.664	0.562	244	248	-0.493952	0.064516
Dtak	DT10_00000560	0.1931	0.4248	0.2354	0.3372	0.248	0.171	0.436	50.74	0.640	0.587	555	562	-0.188790	0.039146
Dmel	FBpp0077247	0.1743	0.4554	0.2215	0.3431	0.276	0.217	0.469	51.84	0.669	0.595	571	578	-0.177336	0.038062
Dbia	DB10_00001015	0.1526	0.5125	0.0949	0.5535	0.339	0.442	0.644	39.02	0.810	0.641	578	587	-0.929131	0.051107
Dsuz	DS10_00011866	0.1808	0.4908	0.1206	0.5348	0.302	0.395	0.616	42.54	0.771	0.622	362	366	-0.861202	0.054645
Dtak	DT10_00009202	0.1575	0.4795	0.1099	0.5601	0.350	0.418	0.627	39.21	0.793	0.636	576	585	-0.912308	0.051282
Dmel	FBpp0083147	0.2132	0.4289	0.1561	0.5290	0.326	0.291	0.550	46.82	0.719	0.602	527	535	-0.995140	0.052336
Dbia	DB10_00005484	0.1722	0.5430	0.1336	0.4568	0.294	0.442	0.647	40.90	0.762	0.608	382	392	-0.908929	0.053571
Dsuz	DS10_00001055	0.2159	0.4884	0.1644	0.4472	0.275	0.329	0.577	45.82	0.706	0.585	388	398	-0.965578	0.052764
Dtak	DT10_00000561	0.1683	0.5479	0.1414	0.4504	0.276	0.411	0.627	42.74	0.759	0.604	386	396	-0.924747	0.053030
Dmel	FBpp0077246	0.1879	0.5000	0.1546	0.4693	0.272	0.363	0.597	42.17	0.734	0.593	380	392	-0.921174	0.053571
Dbia	DB10_00006550	0.1055	0.5714	0.1101	0.4631	0.295	0.414	0.615	38.00	0.826	0.620	707	728	-0.640797	0.034341
Dsuz	DS10_00005137	0.1497	0.5508	0.1152	0.4601	0.278	0.379	0.598	41.19	0.788	0.587	458	473	-0.844186	0.031712
Dtak	DT10_00008382	0.1227	0.5473	0.1152	0.4677	0.260	0.355	0.576	37.73	0.807	0.616	696	716	-0.662291	0.033520
Dmel	FBpp0087903	0.1835	0.4933	0.1468	0.4227	0.278	0.320	0.553	42.20	0.730	0.591	682	702	-0.628063	0.034188
Dbia	DB10_00004402	0.2338	0.4547	0.1710	0.4317	0.271	0.297	0.553	48.51	0.681	0.575	1256	1282	-0.776755	0.057722
Dsuz	DS10_00009388	0.2439	0.4433	0.1793	0.4247	0.268	0.267	0.533	49.47	0.667	0.568	1185	1207	-0.790472	0.059652
Dtak	DT10_00004814	0.2231	0.4645	0.1463	0.4444	0.286	0.318	0.564	46.76	0.706	0.582	1567	1600	-0.655312	0.055625
Dmel	FBpp0082437	0.2922	0.3968	0.2208	0.3780	0.269	0.169	0.472	54.21	0.595	0.544	1259	1283	-0.748792	0.057677
Dbia	DB10_00009264	0.0823	0.5855	0.1240	0.5122	0.307	0.469	0.666	35.60	0.840	0.652	781	795	-0.863019	0.057862
Dtak	DT10_00009902	0.0596	0.6216	0.0813	0.5406	0.324	0.535	0.707	33.02	0.890	0.671	785	799	-0.865957	0.057572
Dmel	FBpp0078231	0.1706	0.5227	0.1618	0.4488	0.301	0.369	0.604	45.48	0.742	0.617	805	820	-0.877927	0.058537
Dsuz	DS10_00011006	0.0643	0.6476	0.0672	0.5549	0.323	0.572	0.734	31.53	0.899	0.642	527	536	-0.783769	0.069030
Dbia	DB10_00006908	0.1000	0.5796	0.1215	0.5303	0.288	0.474	0.672	39.33	0.831	0.607	682	694	-0.760951	0.066282
Dsuz	DS10_00001221	0.2025	0.4901	0.2144	0.4409	0.278	0.289	0.561	50.78	0.687	0.537	699	715	-0.830769	0.064336
Dtak	DT10_00004677	0.2560	0.4346	0.2045	0.4522	0.260	0.226	0.523	48.97	0.651	0.524	682	693	-0.801876	0.066378
Dmel	FBpp0077204	0.2532	0.4304	0.2407	0.4107	0.265	0.209	0.509	52.16	0.625	0.521	701	714	-0.759524	0.065826
Dbia	DB10_00001092	0.1917	0.5192	0.1772	0.4356	0.286	0.332	0.587	45.86	0.718	0.570	429	443	-0.824379	0.067720
Dsuz	DS10_00010638	0.2919	0.4023	0.2595	0.3607	0.249	0.195	0.499	51.46	0.575	0.523	1010	1040	-0.719135	0.063462
Dtak	DT10_00010675	0.2434	0.4536	0.2175	0.4112	0.268	0.259	0.542	50.56	0.646	0.541	775	798	-0.750251	0.063910
Dmel	FBpp0083249	0.2500	0.4458	0.2451	0.4138	0.316	0.201	0.512	49.83	0.629	0.525	426	439	-0.877904	0.068337
Dbia	DB10_00003553	0.2368	0.4322	0.1750	0.4247	0.247	0.287	0.537	49.18	0.672	0.574	1203	1231	-0.601544	0.058489
Dmel	FBpp0292052	0.2709	0.3837	0.2646	0.3511	0.234	0.154	0.451	53.97	0.575	0.539	1199	1228	-0.588518	0.058632
Dsuz	DS10_00002180	0.2791	0.3933	0.2243	0.3712	0.233	0.195	0.477	52.91	0.599	0.549	1200	1226	-0.601958	0.058728
Dtak	DT10_00006998	0.2869	0.3967	0.2131	0.3740	0.219	0.183	0.470	51.48	0.602	0.542	1192	1223	-0.628536	0.059689
Dsuz	DS10_00002709	0.2600	0.3944	0.2546	0.4002	0.232	0.161	0.469	56.34	0.597	0.503	1148	1199	-0.444454	0.079233
Dmel	FBpp0072065	0.2776	0.3961	0.2543	0.3752	0.251	0.139	0.455	54.40	0.580	0.481	761	802	-0.169327	0.087282
