Gene,locus,Female Expression,Male Expression,Sex_Bias
DS10_00000731,scaffold1:7524992-7525553,0.00,73.44,male
DS10_00000737,scaffold1:7678680-7679566,0.00,28.80,male
DS10_00000739,scaffold1:7690085-7690355,0.51,61.81,male
DS10_00000740,scaffold1:7698220-7702443,0.00,31.86,male
DS10_00000742,scaffold1:7718971-7719909,0.05,20.21,male
DS10_00000755,scaffold1:7970935-7973109,0.00,107.67,male
DS10_00000771,scaffold1:8206137-8206524,0.15,28.68,male
DS10_00000776,scaffold1:8284525-8286547,0.00,10.72,male
DS10_00000778,scaffold1:8299122-8299783,0.00,32.55,male
DS10_00000781,scaffold1:8331692-8356503,0.16,89.58,male
DS10_00000786,scaffold1:8435102-8435919,0.08,7.76,male
DS10_00000787,scaffold1:8435967-8437123,0.08,5.73,male
DS10_00000795,scaffold1:8495826-8496246,0.00,225.51,male
DS10_00000805,scaffold1:8621325-8622156,0.00,52.20,male
DS10_00000807,scaffold1:8633007-8633674,0.00,73.13,male
DS10_00000810,scaffold1:8651876-8657774,0.87,13.31,male
DS10_00000822,scaffold1:8745371-8746992,0.00,28.47,male
DS10_00000832,scaffold1:8829866-8830802,0.11,10.52,male
DS10_00000835,scaffold1:8836938-8837589,0.00,198.78,male
DS10_00000836,scaffold1:8838750-8840272,0.00,113.15,male
DS10_00000838,scaffold1:8864471-8865227,0.11,43.34,male
DS10_00000841,scaffold1:8940690-8941319,0.18,60.10,male
DS10_00000845,scaffold1:9020037-9020408,0.25,40.43,male
DS10_00000873,scaffold1:9449321-9449744,0.63,14.92,male
DS10_00000876,scaffold1:9504184-9509762,0.09,29.23,male
DS10_00000888,scaffold1:9608095-9608759,0.00,38.01,male
DS10_00000893,scaffold1:9754813-9755793,0.05,111.14,male
DS10_00000894,scaffold1:9772060-9772516,0.49,35.85,male
DS10_00000909,scaffold1:9949655-9955048,0.03,266.58,male
DS10_00000912,scaffold1:10012026-10012794,0.00,35.60,male
DS10_00000913,scaffold1:10015591-10017479,0.03,36.26,male
DS10_00000916,scaffold1:10078900-10080540,0.00,37.41,male
DS10_00000926,scaffold1:10162392-10174917,6.56,1.12,female
DS10_00000936,scaffold1:10294199-10298428,0.00,78.92,male
DS10_00000938,scaffold1:10323809-10326346,0.00,14.13,male
DS10_00000940,scaffold1:10341650-10343710,0.00,36.49,male
DS10_00000943,scaffold1:10365261-10366281,0.15,30.74,male
DS10_00000945,scaffold1:10393533-10395188,0.00,43.02,male
DS10_00000946,scaffold1:10411396-10412901,0.00,15.03,male
DS10_00000949,scaffold1:10461604-10467818,0.00,554.21,male
DS10_00000956,scaffold1:10691521-10693877,0.00,45.27,male
DS10_00000978,scaffold1:10818901-10825709,0.35,15.33,male
DS10_00000988,scaffold1:10935831-10936547,4.31,30.47,male
DS10_00001032,scaffold1:11444035-11445586,8.28,0.72,female
DS10_00001060,scaffold1:11815869-11819758,13.23,1.56,female
DS10_00001071,scaffold1:11860444-11860983,0.13,9.85,male
DS10_00001072,scaffold1:11872440-11872977,0.00,404.40,male
DS10_00001073,scaffold1:11876513-11877122,0.07,2.61,male
DS10_00001090,scaffold1:12052001-12053291,0.00,22.63,male
DS10_00001092,scaffold1:12109369-12110145,0.12,3.59,male
DS10_00001093,scaffold1:12150392-12151253,0.00,73.95,male
DS10_00001097,scaffold1:12236965-12237340,1.93,26.55,male
DS10_00001104,scaffold1:12372747-12373632,0.00,73.37,male
DS10_00001111,scaffold1:12513654-12516235,0.16,24.24,male
DS10_00001114,scaffold1:12540671-12542563,0.05,19.84,male
DS10_00001117,scaffold1:12564943-12571070,0.03,27.51,male
DS10_00001125,scaffold1:12603321-12608905,4.70,43.79,male
DS10_00001127,scaffold1:12617564-12619432,23.46,102.92,male
DS10_00001128,scaffold1:12620587-12656720,0.09,12.89,male
DS10_00001129,scaffold1:12620587-12656720,0.03,11.69,male
DS10_00001131,scaffold1:12682644-12683862,0.00,40.50,male
DS10_00001143,scaffold1:13147534-13149973,0.00,11.32,male
DS10_00001147,scaffold1:13174291-13176011,0.00,257.07,male
DS10_00001148,scaffold1:13177214-13177938,0.30,5.92,male
DS10_00001152,scaffold1:13265086-13267501,0.26,7.04,male
DS10_00001153,scaffold1:13272518-13273850,0.00,30.88,male
DS10_00001163,scaffold1:13379551-13408856,1.10,6.19,male
DS10_00001167,scaffold1:13500684-13502643,0.02,63.10,male
DS10_00001173,scaffold1:13620705-13624622,0.00,27.68,male
DS10_00001174,scaffold1:13667341-13668909,0.00,15.90,male
DS10_00001195,scaffold1:13919916-13930867,0.12,13.06,male
DS10_00001223,scaffold1:14235658-14236571,0.17,39.42,male
DS10_00001239,scaffold1:14308370-14308715,0.16,26.50,male
DS10_00001256,scaffold1:14408948-14410365,0.04,115.15,male
DS10_00001258,scaffold1:14423600-14425226,11.40,62.62,male
DS10_00001267,scaffold1:14488208-14488361,1.26,314.63,male
DS10_00001268,scaffold1:14489987-14492075,14.28,0.28,female
DS10_00001271,scaffold1:14579294-14581436,0.00,7.50,male
DS10_00001272,scaffold1:14622591-14624394,0.00,54.81,male
DS10_00001273,scaffold1:14624751-14626123,0.00,49.21,male
DS10_00001276,scaffold1:14695981-14698503,0.08,74.05,male
DS10_00001281,scaffold1:14725329-14727470,0.24,12.88,male
DS10_00001293,scaffold1:14824400-14825954,0.39,364.35,male
DS10_00001294,scaffold1:14826622-14829529,0.16,159.44,male
DS10_00001298,scaffold1:14864839-14867093,0.00,47.88,male
DS10_00001299,scaffold1:14867412-14868010,0.12,257.75,male
DS10_00001300,scaffold1:14875396-14875809,1.95,956.93,male
DS10_00001302,scaffold1:14877644-14878083,0.00,90.49,male
DS10_00001305,scaffold1:14909677-14923768,1.92,23.48,male
DS10_00001306,scaffold1:14945461-14946244,0.00,96.49,male
DS10_00001307,scaffold1:14953862-14954066,1.79,137.78,male
DS10_00001312,scaffold1:14989314-14989959,0.06,74.04,male
DS10_00001319,scaffold1:15061338-15063975,1.83,22.93,male
DS10_00001325,scaffold1:15128605-15143614,0.00,102.00,male
DS10_00001329,scaffold1:15225682-15227332,0.00,57.22,male
DS10_00001330,scaffold1:15238464-15240060,0.03,60.09,male
DS10_00001332,scaffold1:15285554-15286617,0.04,19.39,male
DS10_00001346,scaffold1:15435401-15441851,0.29,19.95,male
DS10_00001353,scaffold1:15486208-15487423,0.00,231.84,male
DS10_00001354,scaffold1:15489924-15490083,1.07,571.71,male
DS10_00001355,scaffold1:15491173-15491335,0.00,540.95,male
DS10_00001361,scaffold1:15562014-15564233,0.00,107.38,male
DS10_00001371,scaffold1:15826132-15827524,0.00,29.30,male
DS10_00001374,scaffold1:15844543-15845443,0.00,17.97,male
DS10_00001375,scaffold1:15913446-15914124,1.22,9.07,male
DS10_00001376,scaffold1:15927913-15930104,0.02,26.94,male
DS10_00001377,scaffold1:15952696-15954613,0.07,24.84,male
DS10_00001381,scaffold1:15983489-15986459,0.06,19.34,male
DS10_00001383,scaffold1:16001653-16002351,0.00,44.41,male
DS10_00001386,scaffold1:16031692-16032325,0.11,124.26,male
DS10_00001387,scaffold1:16033625-16034100,0.00,668.15,male
DS10_00001402,scaffold1:16096964-16098535,0.15,70.53,male
DS10_00001420,scaffold1:16306743-16308247,0.06,7.55,male
DS10_00001431,scaffold1:16349206-16351153,4.82,0.79,female
DS10_00001441,scaffold1:16394749-16396611,74.26,17.56,female
DS10_00001451,scaffold1:16527878-16529966,0.14,16.40,male
DS10_00001453,scaffold1:16532317-16536999,0.00,205.72,male
DS10_00001456,scaffold1:16564774-16568840,4.80,28.25,male
DS10_00001460,scaffold1:16600280-16601277,0.29,48.62,male
DS10_00001463,scaffold1:16613343-16625514,5.74,31.34,male
DS10_00001467,scaffold1:16644357-16672183,6.97,36.11,male
DS10_00001468,scaffold1:16672782-16673421,0.00,31.04,male
DS10_00001473,scaffold1:16714274-16723749,0.22,2.61,male
DS10_00001479,scaffold1:16745773-16775279,0.07,33.71,male
DS10_00001505,scaffold1:17172952-17175907,0.11,18.35,male
DS10_00001518,scaffold1:17279585-17303868,0.15,69.12,male
DS10_00001520,scaffold1:17403108-17404425,0.00,48.84,male
DS10_00001521,scaffold1:17420901-17423658,0.00,65.68,male
DS10_00001533,scaffold1:17580913-17618475,0.11,41.14,male
DS10_00001534,scaffold1:17619523-17634956,0.48,23.18,male
DS10_00001542,scaffold1:17685688-17693475,0.01,9.52,male
DS10_00001545,scaffold1:17703076-17715202,0.31,93.87,male
DS10_00001551,scaffold1:17745852-17746755,0.00,42.01,male
DS10_00001562,scaffold1:18020862-18021946,0.07,44.15,male
DS10_00001565,scaffold1:18106884-18109374,0.04,17.08,male
DS10_00001568,scaffold1:18124136-18125555,0.00,40.04,male
DS10_00001569,scaffold1:18132962-18133364,0.00,73.65,male
DS10_00001570,scaffold1:18134499-18134814,0.00,228.74,male
DS10_00001577,scaffold1:18225807-18227923,0.26,36.84,male
DS10_00001578,scaffold1:18228101-18230576,3.96,30.48,male
DS10_00001580,scaffold1:18235757-18237598,0.49,3.94,male
DS10_00001593,scaffold1:18422669-18423494,0.07,220.99,male
DS10_00001604,scaffold1:18562625-18563276,113.13,26.02,female
DS10_00001635,scaffold1:18861158-18866815,4.00,76.64,male
DS10_00001645,scaffold1:18898224-18899094,0.05,19.14,male
DS10_00001646,scaffold1:18899594-18901151,0.32,33.62,male
DS10_00001659,scaffold1:18975384-18981414,0.19,30.67,male
DS10_00001660,scaffold1:18985266-18986082,0.00,24.42,male
DS10_00001676,scaffold1:19094745-19095327,0.00,32.90,male
DS10_00001677,scaffold1:19095953-19098291,0.02,38.60,male
DS10_00001679,scaffold1:19107521-19107878,105.17,0.28,female
DS10_00001685,scaffold1:19149544-19151230,0.00,50.76,male
DS10_00001687,scaffold1:19154998-19155340,0.18,7.51,male
DS10_00001694,scaffold1:19223474-19227356,0.03,23.11,male
DS10_00001696,scaffold1:19281760-19283209,0.03,70.71,male
DS10_00001699,scaffold1:19341351-19342922,0.03,13.86,male
DS10_00001702,scaffold1:19403488-19406038,0.00,61.89,male
DS10_00001703,scaffold1:19426112-19427569,0.00,53.76,male
DS10_00001740,scaffold1:19808177-19808696,0.00,80.58,male
DS10_00001742,scaffold1:19842949-19851626,103.58,29.62,female
DS10_00001744,scaffold1:19904436-19905688,0.04,19.25,male
DS10_00001764,scaffold1:19996298-19997631,10.29,0.17,female
DS10_00001768,scaffold1:20009781-20011099,14.16,0.23,female
DS10_00001776,scaffold1:20038245-20041243,3.18,42.51,male
DS10_00001783,scaffold1:20084116-20085435,4.45,0.57,female
DS10_00001808,scaffold1:20173961-20182678,8.31,60.69,male
DS10_00001829,scaffold1:20339245-20339857,0.00,42.92,male
DS10_00001830,scaffold1:20349641-20351098,0.00,235.62,male
DS10_00001831,scaffold1:20353162-20353759,0.00,116.34,male
DS10_00001832,scaffold1:20354521-20355070,0.00,71.25,male
DS10_00001835,scaffold1:20407272-20421519,0.01,32.39,male
DS10_00001836,scaffold1:20423786-20426596,0.00,37.57,male
DS10_00001838,scaffold1:20454806-20456951,1.89,11.72,male
DS10_00001855,scaffold1:20598695-20599353,0.00,74.35,male
DS10_00001863,scaffold1:20691300-20691723,0.13,2.47,male
DS10_00001864,scaffold1:20704197-20704608,0.13,30.30,male
DS10_00001865,scaffold1:20718861-20719735,0.06,3.42,male
DS10_00001866,scaffold1:20726523-20729044,0.09,34.46,male
DS10_00001867,scaffold1:20730754-20731060,0.42,9.51,male
DS10_00001869,scaffold1:20756901-20762840,0.85,60.76,male
DS10_00001878,scaffold1:20814284-20824763,28.77,2.86,female
DS10_00001880,scaffold1:20828766-20837432,15.54,57.75,male
DS10_00001881,scaffold1:20838533-20842679,54.97,1.58,female
DS10_00001885,scaffold1:20862175-20863099,0.09,193.28,male
DS10_00001898,scaffold1:20997871-20999307,0.12,15.97,male
DS10_00001920,scaffold1:21269583-21270266,0.00,360.03,male
DS10_00001922,scaffold1:21298332-21308046,1.29,16.39,male
DS10_00001931,scaffold1:21493839-21496360,0.00,6.80,male
DS10_00001947,scaffold1:21647463-21651035,0.00,7.79,male
DS10_00001948,scaffold1:21654724-21655297,0.00,91.12,male
DS10_00001949,scaffold1:21656050-21657148,0.00,74.19,male
DS10_00001952,scaffold1:21704962-21706981,0.00,43.66,male
DS10_00001973,scaffold1:22051225-22051987,4.17,0.31,female
DS10_00001990,scaffold1:22154884-22155724,0.10,9.97,male
DS10_00001991,scaffold1:22162179-22164615,0.02,7.24,male
DS10_00002013,scaffold1:22505173-22506657,0.00,49.20,male
DS10_00002016,scaffold1:22552603-22556315,0.09,14.76,male
DS10_00002017,scaffold2:14677-18608,22.54,107.24,male
DS10_00002022,scaffold2:44861-48334,0.02,71.80,male
DS10_00002024,scaffold2:63092-65153,4.01,36.50,male
DS10_00002026,scaffold2:73475-74506,0.09,57.83,male
DS10_00002027,scaffold2:78739-81343,0.06,24.00,male
DS10_00002033,scaffold2:158142-161329,0.11,47.38,male
DS10_00002037,scaffold2:206839-207324,0.27,129.44,male
DS10_00002038,scaffold2:213486-234977,13.72,103.43,male
DS10_00002066,scaffold2:463203-467424,0.04,136.96,male
DS10_00002073,scaffold2:533492-535040,0.00,28.54,male
DS10_00002084,scaffold2:688453-688936,0.19,61.61,male
DS10_00002094,scaffold2:769263-775586,0.19,3.18,male
DS10_00002108,scaffold2:956158-957046,0.42,39.14,male
DS10_00002114,scaffold2:1002736-1007223,0.08,18.64,male
DS10_00002132,scaffold2:1157907-1158808,0.07,2.63,male
DS10_00002134,scaffold2:1160298-1171074,0.00,9.36,male
DS10_00002138,scaffold2:1225750-1226934,0.00,17.50,male
DS10_00002139,scaffold2:1252190-1252821,0.00,80.37,male
DS10_00002140,scaffold2:1252987-1254378,0.00,51.82,male
DS10_00002142,scaffold2:1278946-1281987,66.95,15.91,female
DS10_00002144,scaffold2:1297126-1308431,0.91,4.56,male
DS10_00002161,scaffold2:1411869-1437002,0.60,18.54,male
DS10_00002165,scaffold2:1508562-1509087,0.00,38.40,male
DS10_00002166,scaffold2:1521053-1528920,0.03,37.91,male
DS10_00002178,scaffold2:1584278-1589462,1.12,5.97,male
DS10_00002213,scaffold2:1963509-1964529,0.04,24.17,male
DS10_00002223,scaffold2:2004686-2019416,3.02,0.34,female
DS10_00002245,scaffold2:2352575-2354504,0.03,34.59,male
DS10_00002265,scaffold2:2588842-2606040,0.04,3.42,male
DS10_00002270,scaffold2:2684730-2688122,91.11,15.71,female
DS10_00002280,scaffold2:2737032-2745422,2.51,20.12,male
DS10_00002283,scaffold2:2754615-2755200,0.00,82.41,male
DS10_00002312,scaffold2:2857101-2859598,0.29,39.89,male
DS10_00002318,scaffold2:2889840-2893223,0.09,14.09,male
DS10_00002335,scaffold2:2935932-2938050,0.00,30.16,male
DS10_00002341,scaffold2:3002205-3003178,0.00,118.24,male
DS10_00002342,scaffold2:3004181-3007389,0.02,20.23,male
DS10_00002366,scaffold2:3352183-3358727,0.13,23.99,male
DS10_00002373,scaffold2:3369615-3378795,0.13,88.10,male
DS10_00002396,scaffold2:3537316-3547471,0.22,31.73,male
DS10_00002424,scaffold2:3833619-3841465,3.86,60.74,male
DS10_00002428,scaffold2:3851039-3852659,2.55,0.13,female
DS10_00002472,scaffold2:4443127-4446268,0.00,26.28,male
DS10_00002481,scaffold2:4653208-4654876,0.04,31.65,male
DS10_00002516,scaffold2:4937486-4939507,0.21,18.95,male
DS10_00002546,scaffold2:5230636-5232276,0.00,33.17,male
DS10_00002549,scaffold2:5253502-5255757,0.00,44.52,male
DS10_00002550,scaffold2:5262702-5263425,0.00,378.41,male
DS10_00002551,scaffold2:5264370-5265216,0.00,370.91,male
DS10_00002552,scaffold2:5266769-5270730,0.04,8.46,male
DS10_00002570,scaffold2:5428369-5430710,0.00,30.21,male
DS10_00002581,scaffold2:5487751-5489248,11.22,54.15,male
DS10_00002592,scaffold2:5570456-5572146,0.17,38.25,male
DS10_00002593,scaffold2:5574244-5575858,0.25,45.02,male
DS10_00002595,scaffold2:5601014-5601558,0.00,44.39,male
DS10_00002599,scaffold2:5626295-5630037,0.06,144.90,male
DS10_00002614,scaffold2:5721125-5725304,0.02,4.80,male
DS10_00002617,scaffold2:5734938-5742886,4.33,0.69,female
DS10_00002661,scaffold2:6212789-6215027,3.96,0.17,female
DS10_00002698,scaffold2:6391016-6393338,39.09,377.65,male
DS10_00002703,scaffold2:6461951-6483313,0.00,52.56,male
DS10_00002724,scaffold2:6713526-6714957,0.06,74.65,male
DS10_00002729,scaffold2:6751461-6754739,0.96,55.75,male
DS10_00002756,scaffold2:6947397-6948342,0.00,61.64,male
DS10_00002759,scaffold2:6953016-6953435,0.54,55.49,male
DS10_00002768,scaffold2:7007243-7007969,1.10,50.82,male
DS10_00002779,scaffold2:7046925-7048263,0.00,29.12,male
DS10_00002794,scaffold2:7225435-7226843,0.00,24.41,male
DS10_00002795,scaffold2:7227505-7228646,0.22,12.90,male
DS10_00002805,scaffold2:7299587-7300881,0.04,7.25,male
DS10_00002807,scaffold2:7301906-7314120,0.04,3.08,male
DS10_00002809,scaffold2:7351437-7353162,0.09,96.02,male
DS10_00002810,scaffold2:7357118-7357678,0.22,14.75,male
DS10_00002841,scaffold2:7755777-7757827,0.06,40.70,male
DS10_00002843,scaffold2:7763179-7763783,8.25,47.34,male
DS10_00002875,scaffold2:7970176-7987381,3.59,0.61,female
DS10_00002909,scaffold2:8333777-8334477,16.12,90.85,male
DS10_00002913,scaffold2:8371710-8372059,2.22,19.83,male
DS10_00002925,scaffold2:8516277-8517081,236.19,0.53,female
DS10_00002926,scaffold2:8517294-8519459,0.03,133.96,male
DS10_00002927,scaffold2:8520292-8521653,33.62,0.05,female
DS10_00002932,scaffold2:8577523-8579121,2.35,73.06,male
DS10_00002942,scaffold2:8639392-8648490,11.98,1.76,female
DS10_00002946,scaffold2:8737882-8739357,0.26,53.04,male
DS10_00002948,scaffold2:8740590-8741487,11.00,55.68,male
DS10_00002949,scaffold2:8741790-8743021,0.06,50.86,male
DS10_00002965,scaffold2:8849835-8850183,0.33,10.71,male
DS10_00002971,scaffold2:8916367-8916877,0.00,39.26,male
DS10_00002973,scaffold2:8946200-8948457,0.03,5.24,male
DS10_00002993,scaffold2:9082515-9083572,0.10,14.95,male
DS10_00002995,scaffold2:9087818-9088912,0.09,20.95,male
DS10_00002998,scaffold2:9118856-9120032,0.00,45.00,male
DS10_00002999,scaffold2:9125306-9127655,4.52,0.32,female
DS10_00003000,scaffold2:9152044-9153259,0.03,92.42,male
DS10_00003001,scaffold2:9153888-9154608,0.00,187.88,male
DS10_00003005,scaffold2:9177672-9180267,0.00,18.94,male
DS10_00003006,scaffold2:9183788-9184581,0.00,31.43,male
DS10_00003008,scaffold2:9187703-9189054,0.00,30.04,male
DS10_00003010,scaffold2:9196654-9197308,0.07,72.46,male
DS10_00003019,scaffold2:9233012-9233456,17.17,2.04,female
DS10_00003026,scaffold2:9273187-9281381,0.07,46.03,male
DS10_00003028,scaffold2:9284143-9304973,0.03,27.69,male
DS10_00003040,scaffold2:9358305-9359743,0.60,96.10,male
DS10_00003046,scaffold2:9386290-9388019,3.90,110.25,male
DS10_00003086,scaffold2:9778365-9780930,0.95,24.19,male
DS10_00003110,scaffold2:9956399-9958970,0.03,30.97,male
DS10_00003134,scaffold2:10271865-10275146,7.65,0.43,female
DS10_00003135,scaffold2:10276119-10276801,0.00,79.79,male
DS10_00003180,scaffold2:10575066-10580434,0.00,57.10,male
DS10_00003183,scaffold2:10584357-10585112,0.00,43.47,male
DS10_00003184,scaffold2:10585441-10586581,0.00,33.35,male
DS10_00003185,scaffold2:10587098-10587593,0.00,106.34,male
DS10_00003201,scaffold2:10667547-10672173,0.03,112.61,male
DS10_00003203,scaffold2:10680266-10680833,0.00,70.17,male
DS10_00003205,scaffold2:10739386-10744035,0.00,53.50,male
DS10_00003208,scaffold2:10761093-10762968,0.00,29.52,male
DS10_00003210,scaffold2:10778389-10779478,0.08,23.23,male
DS10_00003215,scaffold2:10828590-10831055,0.35,4.56,male
DS10_00003216,scaffold2:10833708-10835831,0.02,296.27,male
DS10_00003217,scaffold2:10841384-10843963,0.00,19.82,male
DS10_00003219,scaffold2:10886806-10888390,0.07,541.13,male
DS10_00003238,scaffold2:11004625-11005929,0.00,43.40,male
DS10_00003247,scaffold2:11044609-11047994,0.12,26.02,male
DS10_00003249,scaffold2:11091079-11092159,0.00,43.38,male
DS10_00003256,scaffold2:11128303-11128542,0.72,965.34,male
DS10_00003268,scaffold2:11272783-11273952,0.15,22.58,male
DS10_00003269,scaffold2:11274406-11275341,0.36,4.05,male
DS10_00003277,scaffold2:11342746-11344057,0.03,17.27,male
DS10_00003279,scaffold2:11350001-11353087,0.02,8.14,male
DS10_00003281,scaffold2:11354700-11369207,1.06,18.16,male
DS10_00003282,scaffold2:11369871-11371158,0.00,37.25,male
DS10_00003284,scaffold2:11374832-11375273,0.63,79.78,male
DS10_00003285,scaffold2:11380119-11382912,0.00,18.15,male
DS10_00003291,scaffold2:11460518-11462766,0.07,20.37,male
DS10_00003298,scaffold2:11536393-11545983,0.17,355.13,male
DS10_00003300,scaffold2:11547454-11592379,0.00,87.56,male
DS10_00003302,scaffold2:11627269-11628881,0.00,20.00,male
DS10_00003311,scaffold2:11678895-11680879,33.82,106.28,male
DS10_00003348,scaffold2:11980019-11984766,0.01,4.19,male
DS10_00003373,scaffold2:12183626-12198411,10.83,1.43,female
DS10_00003384,scaffold2:12356745-12368351,0.39,92.82,male
DS10_00003389,scaffold2:12422928-12426360,2.16,103.49,male
DS10_00003390,scaffold2:12428496-12429098,0.10,56.92,male
DS10_00003403,scaffold2:12475912-12476743,7.43,38.15,male
DS10_00003418,scaffold2:12567992-12570720,0.00,38.41,male
DS10_00003419,scaffold2:12572353-12573698,0.00,41.97,male
DS10_00003421,scaffold2:12585959-12591758,0.02,15.22,male
DS10_00003423,scaffold2:12595094-12596789,0.00,39.60,male
DS10_00003425,scaffold2:12614812-12615814,0.11,3.11,male
DS10_00003427,scaffold2:12642566-12643325,0.07,16.99,male
DS10_00003429,scaffold2:12696861-12697926,0.00,57.86,male
DS10_00003431,scaffold2:12714142-12715397,0.70,25.09,male
DS10_00003433,scaffold2:12745070-12746900,0.14,10.88,male
DS10_00003434,scaffold2:12758929-12759967,0.27,382.34,male
