Gene	Taxon	T3s	C3s	A3s	G3s	CAI	CBI	Fop	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo
21	DB10_00000068	Dbia	0.1131	0.598	0.0994	0.482	0.299	0.51	0.687	12.09375	0.832	0.583	463	481	-0.396466	0.114345
22	DB10_00000073	Dbia	0.1239	0.5769	0.09	0.4485	0.28	0.511	0.685	12.484375	0.822	0.616	270	279	-0.3681	0.050179
23	DB10_00000074	Dbia	0.2352	0.4271	0.146	0.4851	0.249	0.317	0.569	27.5625	0.698	0.545	1240	1281	-0.555503	0.070258
24	DB10_00000075	Dbia	0.2257	0.4648	0.1675	0.399	0.269	0.311	0.556	27.46875	0.683	0.582	2052	2111	-0.499432	0.045002
25	DB10_00000076	Dbia	0.1211	0.5	0.1118	0.5	0.276	0.458	0.64	15.125	0.804	0.554	214	221	0.69457	0.135747
26	DB10_00000077	Dbia	0.1533	0.5332	0.1289	0.438	0.271	0.454	0.649	13.59375	0.768	0.566	501	524	-0.045802	0.10687
27	DB10_00000078	Dbia	0.063	0.6614	0.0714	0.6103	0.302	0.655	0.795	4.171875	0.903	0.6	185	194	-1.452577	0.061856
28	DB10_00000086	Dbia	0.1545	0.5447	0.1442	0.4545	0.275	0.473	0.667	17.75	0.759	0.533	141	152	0.341447	0.138158
29	DB10_00000088	Dbia	0.2927	0.3796	0.2844	0.3666	0.264	0.148	0.467	40.546875	0.557	0.514	928	954	-1.017191	0.035639
30	DB10_00000089	Dbia	0.1749	0.5106	0.1671	0.4763	0.257	0.372	0.606	21.71875	0.737	0.556	913	933	-0.822079	0.057878
31	DB10_00000090	Dbia	0.2212	0.4355	0.1785	0.4507	0.268	0.31	0.561	26.3125	0.682	0.558	2004	2065	-0.498547	0.069734
32	DB10_00000091	Dbia	0.1849	0.5042	0.2039	0.4444	0.272	0.335	0.592	41.03125	0.707	0.58	147	153	-0.624183	0.111111
33	DB10_00000092	Dbia	0.3299	0.3608	0.3494	0.2603	0.246	0.015	0.383	38.59375	0.47	0.408	115	121	0.307438	0.14876
34	DB10_00000093	Dbia	0.0571	0.5429	0.125	0.5965	0.266	0.609	0.75	2.25	0.857	0.575	84	87	0.464368	0.149425
35	DB10_00000094	Dbia	0.2006	0.3922	0.2047	0.4516	0.217	0.29	0.543	25.765625	0.671	0.585	829	839	-1.109654	0.06913
36	DB10_00000095	Dbia	0.2606	0.3952	0.2209	0.4067	0.23	0.209	0.493	34.90625	0.615	0.512	1026	1052	-0.177757	0.069392
37	DB10_00000096	Dbia	0.2874	0.384	0.2481	0.3784	0.249	0.146	0.46	40.5	0.579	0.497	1640	1675	-0.697791	0.056716
38	DB10_00000097	Dbia	0.2016	0.5313	0.1406	0.4116	0.253	0.385	0.607	24.265625	0.722	0.516	428	449	0.311581	0.169265
39	DB10_00000104	Dbia	0.215	0.465	0.1351	0.4459	0.263	0.339	0.578	25.265625	0.716	0.565	1033	1066	-0.345122	0.070356
40	DB10_00000106	Dbia	0.1324	0.4676	0.1995	0.4454	0.23	0.383	0.598	22.921875	0.726	0.577	463	478	-0.53682	0.033473
41	DB10_00000108	Dbia	0.1553	0.5373	0.0909	0.45	0.255	0.484	0.661	11.90625	0.796	0.612	387	399	-0.288972	0.055138
42	DB10_00000109	Dbia	0.1594	0.4571	0.1541	0.4808	0.254	0.33	0.562	20.546875	0.745	0.605	1874	1900	-0.655737	0.033158
43	DB10_00000111	Dbia	0.1261	0.4289	0.1357	0.5045	0.217	0.29	0.521	21.953125	0.778	0.664	528	546	-0.782418	0.045788
44	DB10_00000113	Dbia	0.187	0.5112	0.1429	0.4401	0.305	0.403	0.619	16.8125	0.738	0.586	522	534	-0.692135	0.052434
45	DB10_00000115	Dbia	0.2105	0.4737	0.1192	0.4205	0.22	0.373	0.59	20.84375	0.727	0.613	564	577	-0.775737	0.053726
46	DB10_00000118	Dbia	0.22	0.476	0.1145	0.4883	0.302	0.376	0.609	23.796875	0.734	0.571	304	316	-0.390823	0.107595
47	DB10_00000119	Dbia	0.2255	0.4238	0.179	0.4467	0.277	0.285	0.541	27.53125	0.681	0.581	1725	1773	-1.013875	0.035533
48	DB10_00000122	Dbia	0.1691	0.4681	0.1765	0.4164	0.282	0.311	0.542	22.40625	0.718	0.606	478	490	-0.654694	0.059184
49	DB10_00000125	Dbia	0.1347	0.5	0.0832	0.4951	0.253	0.416	0.609	13.578125	0.818	0.646	642	656	-0.398171	0.050305
50	DB10_00000126	Dbia	0.1853	0.4841	0.1463	0.4141	0.293	0.358	0.583	18.453125	0.724	0.596	1174	1207	-0.197846	0.075394
51	DB10_00000127	Dbia	0.1483	0.5174	0.0915	0.5253	0.3	0.424	0.63	12.125	0.808	0.597	808	838	-0.639141	0.065632
52	DB10_00000129	Dbia	0.1582	0.5154	0.0989	0.5159	0.303	0.468	0.659	12.1875	0.794	0.576	1353	1418	-0.195628	0.081805
53	DB10_00000132	Dbia	0.2396	0.4553	0.2322	0.269	0.233	0.262	0.516	27.90625	0.603	0.596	1248	1256	-0.704698	0.069268
54	DB10_00000133	Dbia	0.2482	0.4965	0.1429	0.2593	0.228	0.301	0.523	23.8125	0.658	0.557	149	152	-0.338816	0.190789
55	DB10_00000134	Dbia	0.2264	0.4659	0.135	0.4294	0.262	0.282	0.538	27.1875	0.7	0.551	524	549	0.119126	0.112933
56	DB10_00000137	Dbia	0.3511	0.2696	0.3747	0.231	0.221	-0.042	0.315	39.265625	0.405	0.472	1144	1165	-0.54558	0.071245
57	DB10_00000139	Dbia	0.2659	0.3988	0.1881	0.4153	0.238	0.173	0.47	36.484375	0.632	0.523	815	859	-0.214436	0.102445
58	DB10_00000140	Dbia	0.0968	0.6022	0.1287	0.5957	0.375	0.602	0.761	10.390625	0.836	0.565	134	138	-0.649275	0.065217
59	DB10_00000141	Dbia	0.1529	0.4588	0.2139	0.443	0.216	0.318	0.559	19.90625	0.701	0.554	211	216	-0.430093	0.041667
60	DB10_00000142	Dbia	0.2364	0.3636	0.25	0.4362	0.249	0.195	0.489	35.1875	0.609	0.512	133	144	-0.491667	0.076389
61	DB10_00000145	Dbia	0.2398	0.4269	0.1346	0.4933	0.249	0.327	0.572	23.0625	0.701	0.556	629	664	-0.498645	0.103916
62	DB10_00000146	Dbia	0.3602	0.3623	0.1812	0.4153	0.225	0.176	0.489	32.375	0.572	0.502	573	609	-0.435961	0.10509
63	DB10_00000147	Dbia	0.2301	0.4172	0.2484	0.3543	0.255	0.221	0.497	33.984375	0.611	0.541	398	419	-0.498568	0.073986
64	DB10_00000148	Dbia	0.1404	0.5835	0.0966	0.4828	0.307	0.492	0.68	12.1875	0.812	0.582	522	558	-0.204122	0.064516
65	DB10_00000159	Dbia	0.35	0.3444	0.1989	0.3765	0.218	0.135	0.452	35.921875	0.557	0.482	221	226	-0.09469	0.088496
66	DB10_00000161	Dbia	0.3208	0.3341	0.2928	0.3678	0.199	0.064	0.406	44.1875	0.523	0.452	1039	1080	-0.468426	0.093519
67	DB10_00000163	Dbia	0.1903	0.5067	0.1171	0.4467	0.271	0.423	0.623	16.984375	0.747	0.546	427	441	-0.349433	0.07483
68	DB10_00000170	Dbia	0.2231	0.3846	0.1654	0.4919	0.184	0.217	0.5	24.4375	0.685	0.564	162	169	-0.498817	0.047337
69	DB10_00000173	Dbia	0.2229	0.4379	0.1475	0.4787	0.221	0.306	0.551	24.296875	0.7	0.526	590	616	-0.18198	0.071429
70	DB10_00000185	Dbia	0.2099	0.4237	0.2428	0.4041	0.268	0.246	0.52	32.40625	0.639	0.54	654	670	-0.478806	0.068657
71	DB10_00000189	Dbia	0.1969	0.5281	0.1155	0.4375	0.299	0.376	0.595	17.953125	0.751	0.569	393	407	-0.488944	0.071253
72	DB10_00000191	Dbia	0.1945	0.4377	0.1926	0.4043	0.247	0.27	0.52	27.25	0.68	0.568	756	790	-0.221013	0.072152
73	DB10_00000195	Dbia	0.17	0.5274	0.1032	0.4728	0.298	0.45	0.651	16.609375	0.78	0.594	413	424	-0.160142	0.099057
74	DB10_00000196	Dbia	0.1724	0.5326	0.1021	0.4887	0.306	0.466	0.661	13.21875	0.783	0.593	796	829	-0.488661	0.084439
75	DB10_00000199	Dbia	0.1525	0.5075	0.1562	0.4649	0.289	0.431	0.635	16.484375	0.753	0.586	498	518	-0.600579	0.040541
76	DB10_00000203	Dbia	0.2432	0.4127	0.1928	0.4569	0.277	0.278	0.54	28.734375	0.663	0.539	1353	1382	-0.843777	0.036903
77	DB10_00000205	Dbia	0.3051	0.364	0.304	0.2114	0.279	0.061	0.371	34.171875	0.487	0.503	310	316	-0.583544	0.060127
78	DB10_00000207	Dbia	0.2633	0.3298	0.2628	0.4518	0.235	0.164	0.47	36.515625	0.593	0.52	509	529	-0.943289	0.05293
79	DB10_00000208	Dbia	0.1451	0.6712	0.0226	0.5359	0.386	0.732	0.835	NA	0.875	0.573	695	718	-0.652507	0.077994
80	DB10_00000214	Dbia	0.2548	0.3923	0.2069	0.4412	0.224	0.212	0.498	35.140625	0.633	0.507	2246	2342	-0.342528	0.086251
81	DB10_00000215	Dbia	0.161	0.5198	0.1125	0.4899	0.292	0.48	0.668	13.859375	0.78	0.583	422	437	-0.050343	0.100686
82	DB10_00000218	Dbia	0.2182	0.4793	0.1754	0.3835	0.306	0.329	0.567	23.921875	0.683	0.604	1528	1551	-0.769246	0.041264
83	DB10_00000222	Dbia	0.2311	0.4318	0.1378	0.444	0.283	0.293	0.536	23.609375	0.697	0.591	317	330	-0.355455	0.081818
84	DB10_00000223	Dbia	0.2061	0.4567	0.1448	0.5152	0.271	0.352	0.592	21.671875	0.731	0.587	568	584	-1.010959	0.053082
85	DB10_00000225	Dbia	0.1006	0.566	0.0764	0.5278	0.248	0.522	0.696	10.421875	0.856	0.62	194	200	-0.267	0.075
86	DB10_00000226	Dbia	0.206	0.4664	0.1755	0.4417	0.26	0.322	0.569	26.6875	0.695	0.54	829	863	-0.146582	0.091541
87	DB10_00000231	Dbia	0.1465	0.5349	0.1014	0.5245	0.285	0.497	0.682	14.234375	0.804	0.579	867	913	-0.361884	0.086528
88	DB10_00000233	Dbia	0.1825	0.4986	0.1102	0.4806	0.248	0.415	0.627	17.625	0.767	0.617	919	928	-0.932866	0.067888
89	DB10_00000234	Dbia	0.1935	0.4968	0.1818	0.4154	0.246	0.341	0.583	25.796875	0.704	0.547	379	389	-0.290746	0.069409
90	DB10_00000237	Dbia	0.1812	0.4774	0.1519	0.4047	0.276	0.343	0.565	18.078125	0.723	0.634	687	710	-0.922535	0.060563
91	DB10_00000239	Dbia	0.1171	0.5073	0.1279	0.481	0.25	0.377	0.587	12.59375	0.799	0.652	482	495	-0.534949	0.042424
92	DB10_00000240	Dbia	0.2565	0.4435	0.1739	0.4554	0.31	0.357	0.598	25.671875	0.676	0.564	913	929	-0.909365	0.022605
93	DB10_00000242	Dbia	0.135	0.5	0.0982	0.5326	0.293	0.467	0.652	12.40625	0.808	0.579	480	506	0.131225	0.094862
94	DB10_00000245	Dbia	0.1649	0.4468	0.2174	0.474	0.263	0.304	0.553	27.34375	0.7	0.568	237	244	-0.961885	0.065574
95	DB10_00000246	Dbia	0.2225	0.4643	0.1589	0.4138	0.259	0.309	0.546	23.859375	0.692	0.564	452	466	-0.795923	0.042918
96	DB10_00000247	Dbia	0.2254	0.4378	0.1785	0.4333	0.253	0.271	0.53	26.21875	0.676	0.544	1318	1351	-0.493486	0.064397
97	DB10_00000248	Dbia	0.1555	0.523	0.1353	0.4336	0.261	0.44	0.637	10.84375	0.764	0.615	339	347	-0.729683	0.089337
98	DB10_00000250	Dbia	0.1961	0.5098	0.1458	0.5909	0.302	0.361	0.623	20.875	0.754	0.481	69	77	-0.511688	0.090909
99	DB10_00000252	Dbia	0.169	0.4699	0.1415	0.4265	0.25	0.368	0.574	12.78125	0.739	0.653	514	530	-0.69	0.049057
100	DB10_00000253	Dbia	0.2095	0.502	0.12	0.4975	0.271	0.346	0.588	20.40625	0.74	0.55	308	325	-0.393538	0.101538
101	DB10_00000254	Dbia	0.2023	0.3686	0.2202	0.4264	0.207	0.218	0.489	33.609375	0.647	0.582	655	670	-0.595672	0.047761
102	DB10_00000257	Dbia	0.1959	0.4966	0.1523	0.4043	0.252	0.36	0.585	24.234375	0.714	0.545	518	537	0.187709	0.122905
103	DB10_00000258	Dbia	0.1306	0.5017	0.1452	0.4579	0.243	0.441	0.638	17.21875	0.773	0.621	365	379	-0.192085	0.063325
104	DB10_00000259	Dbia	0.0847	0.6356	0.1591	0.5	0.309	0.471	0.674	4.90625	0.83	0.561	141	148	-0.787162	0.121622
105	DB10_00000263	Dbia	0.14	0.5418	0.1084	0.5094	0.319	0.461	0.654	12.421875	0.808	0.603	598	616	-1.043994	0.038961
106	DB10_00000264	Dbia	0.2186	0.4819	0.1316	0.503	0.294	0.392	0.623	20.765625	0.734	0.566	1121	1159	-0.851079	0.073339
107	DB10_00000267	Dbia	0.1592	0.4955	0.1569	0.4396	0.257	0.359	0.582	21.40625	0.744	0.599	2091	2137	-0.70627	0.052878
108	DB10_00000274	Dbia	0.1429	0.4872	0.0836	0.566	0.316	0.499	0.677	9.6875	0.822	0.641	381	385	-0.319221	0.036364
109	DB10_00000276	Dbia	0.2042	0.4554	0.1557	0.4088	0.222	0.319	0.551	22.890625	0.703	0.595	515	526	-1.131559	0.068441
110	DB10_00000281	Dbia	0.2285	0.4306	0.2076	0.4302	0.265	0.262	0.532	29.75	0.658	0.556	2038	2106	-0.737559	0.057455
111	DB10_00000283	Dbia	0.2256	0.4665	0.1911	0.3814	0.262	0.307	0.555	31.71875	0.663	0.552	398	408	-0.434069	0.098039
112	DB10_00000285	Dbia	0.1261	0.5631	0.1141	0.5533	0.321	0.545	0.717	9.1875	0.818	0.572	318	332	-0.741265	0.057229
113	DB10_00000286	Dbia	0.1626	0.5123	0.0781	0.4396	0.241	0.326	0.543	19.125	0.793	0.604	232	245	-0.413878	0.032653
114	DB10_00000290	Dbia	0.1972	0.4423	0.1657	0.4583	0.242	0.325	0.567	25.125	0.707	0.589	686	709	-0.527221	0.062059
115	DB10_00000291	Dbia	0.2405	0.4414	0.1471	0.4364	0.288	0.36	0.59	21.296875	0.688	0.576	825	845	-0.506509	0.057988
116	DB10_00000293	Dbia	0.2617	0.3996	0.2409	0.4	0.256	0.221	0.51	39.3125	0.607	0.519	667	681	-0.414978	0.058737
117	DB10_00000295	Dbia	0.4261	0.2522	0.2041	0.2258	0.239	0.016	0.319	29.421875	0.42	0.543	119	121	0.7	0.123967
118	DB10_00000296	Dbia	0.2414	0.3924	0.1724	0.4304	0.246	0.234	0.497	28.53125	0.661	0.587	2255	2308	-0.818068	0.060225
119	DB10_00000297	Dbia	0.2049	0.4382	0.1914	0.3771	0.216	0.283	0.528	30.4375	0.67	0.581	352	358	-0.911452	0.036313
120	DB10_00000300	Dbia	0.0963	0.6444	0.0667	0.5588	0.371	0.612	0.758	1.859375	0.873	0.544	165	174	0.034483	0.074713
121	DB10_00000302	Dbia	0.0734	0.6371	0.0708	0.5109	0.352	0.547	0.71	4.875	0.884	0.585	293	316	0.158861	0.170886
122	DB10_00000303	Dbia	0.1755	0.4848	0.1451	0.4376	0.284	0.343	0.57	18.09375	0.738	0.606	1634	1682	-0.676932	0.053508
123	DB10_00000305	Dbia	0.087	0.4928	0.0714	0.597	0.248	0.462	0.647	4.03125	0.871	0.644	85	87	-0.364368	0.068966
124	DB10_00000306	Dbia	0.1605	0.4753	0.1221	0.5225	0.29	0.387	0.612	18.265625	0.774	0.591	394	416	-0.398798	0.105769
125	DB10_00000308	Dbia	0.1698	0.4625	0.1177	0.4564	0.239	0.325	0.548	21.703125	0.757	0.601	1126	1157	-0.429127	0.04408
126	DB10_00000309	Dbia	0.1164	0.5661	0.0952	0.5987	0.322	0.503	0.695	7.578125	0.839	0.571	236	243	-0.688477	0.078189
127	DB10_00000310	Dbia	0.3083	0.3833	0.2427	0.3556	0.224	0.135	0.45	29.375	0.557	0.464	140	143	-0.031469	0.111888
128	DB10_00000311	Dbia	0.1289	0.6158	0.0437	0.3926	0.33	0.637	0.759	2.703125	0.851	0.662	436	440	0.033864	0.056818
129	DB10_00000314	Dbia	0.1243	0.5917	0.0765	0.4607	0.281	0.559	0.714	10.015625	0.839	0.639	217	227	-0.620705	0.070485
130	DB10_00000315	Dbia	0.2121	0.4522	0.1299	0.5153	0.268	0.312	0.566	23.484375	0.726	0.538	838	859	-0.221537	0.091967
131	DB10_00000316	Dbia	0.1946	0.3893	0.225	0.391	0.234	0.226	0.489	34.890625	0.647	0.615	184	188	-0.956915	0.015957
132	DB10_00000319	Dbia	0.1566	0.4277	0.1271	0.5341	0.277	0.491	0.678	17.71875	0.771	0.622	214	215	-0.427442	0.046512
133	DB10_00000322	Dbia	0.2005	0.4639	0.1108	0.4524	0.23	0.324	0.558	26.140625	0.736	0.561	484	515	0.260583	0.12233
134	DB10_00000323	Dbia	0.1994	0.4786	0.1219	0.4917	0.265	0.348	0.585	23.21875	0.744	0.577	426	441	-0.55737	0.06576
135	DB10_00000327	Dbia	0.1788	0.5466	0.1009	0.3696	0.312	0.414	0.611	21.890625	0.758	0.569	434	462	0.579221	0.114719
136	DB10_00000329	Dbia	0.2353	0.4412	0.1577	0.4658	0.214	0.287	0.548	30.28125	0.688	0.53	717	749	-0.414686	0.084112
137	DB10_00000330	Dbia	0.0892	0.6059	0.0742	0.5287	0.313	0.486	0.672	8.53125	0.872	0.593	335	348	-0.686494	0.094828
138	DB10_00000331	Dbia	0.1961	0.4804	0.125	0.4157	0.185	0.301	0.542	23.546875	0.729	0.577	118	123	-0.552845	0.113821
139	DB10_00000332	Dbia	0.2669	0.3796	0.2414	0.373	0.247	0.171	0.464	38.09375	0.594	0.544	925	951	-0.968139	0.050473
140	DB10_00000333	Dbia	0.1971	0.4668	0.1511	0.4456	0.243	0.343	0.575	24.765625	0.718	0.57	1147	1197	-0.324144	0.082707
141	DB10_00000336	Dbia	0.2278	0.5	0.1131	0.3951	0.32	0.456	0.65	16.96875	0.72	0.596	214	216	-0.334259	0.097222
142	DB10_00000337	Dbia	0.2409	0.4182	0.1683	0.3889	0.264	0.291	0.547	30.96875	0.66	0.594	256	257	-0.342023	0.089494
143	DB10_00000338	Dbia	0.2432	0.3694	0.2885	0.3656	0.178	0.105	0.417	29.5	0.568	0.542	132	136	-0.469118	0.036765
144	DB10_00000339	Dbia	0.1519	0.5316	0.1456	0.4497	0.304	0.432	0.636	15.203125	0.763	0.573	198	203	-0.440394	0.068966
145	DB10_00000340	Dbia	0.2004	0.4342	0.2227	0.482	0.267	0.292	0.556	28.890625	0.678	0.527	761	772	-0.877331	0.029793
146	DB10_00000341	Dbia	0.2366	0.4731	0.1873	0.3632	0.239	0.359	0.589	22.015625	0.652	0.547	333	347	-0.075216	0.066282
147	DB10_00000342	Dbia	0.0956	0.5588	0.1391	0.4931	0.244	0.542	0.713	9.796875	0.812	0.587	181	188	-0.596277	0.085106
148	DB10_00000343	Dbia	0.2196	0.4118	0.1844	0.4255	0.24	0.327	0.561	30.78125	0.673	0.611	330	333	-0.563964	0.039039
149	DB10_00000344	Dbia	0.265	0.4874	0.1496	0.3435	0.258	0.352	0.583	18.234375	0.66	0.579	1206	1224	-0.608824	0.088235
150	DB10_00000345	Dbia	0.2188	0.4323	0.1289	0.3867	0.236	0.366	0.568	23.125	0.695	0.597	220	224	0.242411	0.044643
151	DB10_00000351	Dbia	0.1653	0.5806	0.0693	0.3257	0.293	0.571	0.724	3.359375	0.79	0.641	272	274	0.720438	0.040146
152	DB10_00000353	Dbia	0.3294	0.4	0.0833	0.2692	0.241	0.373	0.567	6.328125	0.611	0.649	90	92	1.118478	0.032609
153	DB10_00000357	Dbia	0.2245	0.5	0.1236	0.314	0.25	0.341	0.56	18.296875	0.697	0.605	109	113	0.106195	0.150442
154	DB10_00000358	Dbia	0.1613	0.5726	0.09	0.3011	0.266	0.526	0.68	4.125	0.773	0.649	128	129	0.531783	0.116279
155	DB10_00000359	Dbia	0.355	0.2781	0.2603	0.2292	0.266	0.04	0.36	16.34375	0.449	0.591	178	181	0.198342	0.127072
156	DB10_00000361	Dbia	0.2561	0.5488	0.0704	0.1929	0.284	0.462	0.627	1.859375	0.692	0.682	169	170	0.700588	0.123529
157	DB10_00000362	Dbia	0.3004	0.3229	0.224	0.2947	0.222	0.187	0.441	20.15625	0.538	0.614	238	241	0.256432	0.091286
158	DB10_00000364	Dbia	0.3077	0.4359	0.0758	0.3934	0.202	0.243	0.517	14.859375	0.667	0.549	87	88	0.192045	0.102273
159	DB10_00000369	Dbia	0.2596	0.4004	0.1591	0.4634	0.215	0.25	0.514	24.234375	0.657	0.492	572	585	-0.030085	0.088889
160	DB10_00000371	Dbia	0.243	0.4486	0.2473	0.4	0.273	0.255	0.541	33.6875	0.632	0.492	133	139	-0.436691	0.151079
161	DB10_00000372	Dbia	0.1618	0.5441	0.0385	0.4167	0.24	0.452	0.629	9.5625	0.814	0.63	70	73	0.483561	0.123288
162	DB10_00000373	Dbia	0.1644	0.5616	0.0333	0.4655	0.312	0.501	0.671	12.125	0.829	0.602	82	83	-0.080723	0.192771
163	DB10_00000374	Dbia	0.1124	0.5814	0.0816	0.4603	0.24	0.421	0.612	11.609375	0.841	0.613	309	317	-0.961199	0.053628
164	DB10_00000375	Dbia	0.1396	0.4906	0.1418	0.4302	0.242	0.323	0.545	20.0625	0.765	0.641	319	325	-0.800923	0.033846
165	DB10_00000380	Dbia	0.2507	0.4352	0.1533	0.4638	0.285	0.32	0.575	29.046875	0.677	0.538	412	430	-0.133953	0.127907
166	DB10_00000381	Dbia	0.2734	0.3687	0.2332	0.381	0.213	0.153	0.453	42.828125	0.587	0.505	671	693	-0.281818	0.075036
167	DB10_00000382	Dbia	0.3542	0.2177	0.3202	0.3306	0.198	-0.035	0.313	28.890625	0.44	0.514	316	319	-0.785266	0.047022
168	DB10_00000387	Dbia	0.2109	0.4229	0.1923	0.4324	0.223	0.263	0.522	30.125	0.676	0.56	1125	1155	-0.70987	0.05974
169	DB10_00000388	Dbia	0.0839	0.6645	0.0417	0.4672	0.36	0.722	0.823	1.8125	0.898	0.612	186	190	0.013684	0.110526
170	DB10_00000389	Dbia	0.1797	0.5411	0.0915	0.4413	0.313	0.508	0.686	8.390625	0.776	0.582	545	560	-0.146071	0.091071
171	DB10_00000391	Dbia	0.3014	0.3822	0.2176	0.3906	0.238	0.187	0.484	36.640625	0.59	0.504	923	954	-0.356394	0.097484
172	DB10_00000395	Dbia	0.2626	0.4246	0.1865	0.3758	0.23	0.241	0.513	31.953125	0.635	0.548	425	451	-0.216186	0.086474
173	DB10_00000396	Dbia	0.1952	0.4486	0.1768	0.4384	0.271	0.328	0.566	24.265625	0.695	0.55	1123	1184	-0.014443	0.102196
174	DB10_00000397	Dbia	0.1411	0.5887	0.075	0.6007	0.319	0.575	0.744	10.4375	0.846	0.591	363	381	-1.287139	0.062992
175	DB10_00000401	Dbia	0.2	0.4545	0.2128	0.4048	0.24	0.353	0.587	22.265625	0.667	0.559	63	65	-0.124615	0.015385
176	DB10_00000405	Dbia	0.2622	0.391	0.2819	0.3682	0.24	0.16	0.468	40.40625	0.573	0.499	1166	1198	-0.650751	0.055092
177	DB10_00000413	Dbia	0.2203	0.5272	0.1372	0.4172	0.281	0.376	0.611	23.5	0.72	0.58	478	490	-0.347959	0.087755
178	DB10_00000418	Dbia	0.2989	0.2924	0.3711	0.2088	0.165	0.025	0.349	36.015625	0.423	0.582	1497	1501	-0.655829	0.059294
179	DB10_00000420	Dbia	0.3464	0.3203	0.3	0.3065	0.234	0.008	0.363	47.09375	0.486	0.498	179	184	-0.148913	0.108696
180	DB10_00000422	Dbia	0.2348	0.4275	0.183	0.4568	0.251	0.285	0.545	29.84375	0.672	0.54	1826	1896	-0.455907	0.076477
181	DB10_00000424	Dbia	0.1903	0.4597	0.1305	0.4273	0.25	0.336	0.557	21.921875	0.729	0.609	1470	1513	-0.135823	0.054197
182	DB10_00000426	Dbia	0.1797	0.4464	0.1814	0.5298	0.206	0.365	0.611	25.140625	0.729	0.589	553	565	-1.384956	0.028319
183	DB10_00000427	Dbia	0.1895	0.3895	0.1429	0.5556	0.21	0.34	0.584	15.234375	0.736	0.547	125	128	-0.546094	0.039062
184	DB10_00000428	Dbia	0.169	0.5115	0.1318	0.4509	0.26	0.386	0.605	18.78125	0.759	0.602	1040	1094	-0.539762	0.086837
185	DB10_00000433	Dbia	0.1683	0.4685	0.1379	0.4659	0.236	0.389	0.606	20.625	0.748	0.587	602	632	-0.022468	0.121835
